2017-01-24 02:39:24,754 - INFO - 3692:Dummy-17 - zato_admin:22 - cid:[K049X8JP1Q9K71XWRD4VKZHE705E], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:39:24,802 - INFO - 3691:Dummy-35 - zato_admin:22 - cid:[K049X8JP1Q9K71XWRD4VKZHE705E], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:39:41,396 - INFO - 3692:Dummy-18 - zato_admin:22 - cid:[K06GDGYDMDYKHT493SC2V24YDJC9], name:[zato.server.cluster-wide-singleton-keep-alive], SIO request:[{}]
2017-01-24 02:39:41,430 - INFO - 3692:Dummy-18 - zato_admin:22 - cid:[K06GDGYDMDYKHT493SC2V24YDJC9], name:[zato.server.cluster-wide-singleton-keep-alive], response:[]
2017-01-24 02:39:41,478 - INFO - 3692:Dummy-19 - zato_admin:22 - cid:[K04A1TDKTXBY989K4NCTH8GKP35K], name:[zato.server.cluster-wide-singleton-keep-alive], SIO request:[{}]
2017-01-24 02:39:41,499 - INFO - 3692:Dummy-19 - zato_admin:22 - cid:[K04A1TDKTXBY989K4NCTH8GKP35K], name:[zato.server.cluster-wide-singleton-keep-alive], response:[]
2017-01-24 02:39:54,532 - INFO - 3692:Dummy-20 - zato_admin:22 - cid:[K04SYK7H57JN5BX5Q2YH9ZNVRJDA], name:[zato.stats.process-raw-times], SIO request:[{}]
2017-01-24 02:39:54,543 - INFO - 3692:Dummy-20 - zato_admin:22 - cid:[K04SYK7H57JN5BX5Q2YH9ZNVRJDA], name:[zato.stats.process-raw-times], response:[]
2017-01-24 02:39:54,749 - INFO - 3691:Dummy-37 - zato_admin:22 - cid:[K045Z4E82WCG7VG6GC002KCV0EWM], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:39:54,751 - INFO - 3692:Dummy-21 - zato_admin:22 - cid:[K045Z4E82WCG7VG6GC002KCV0EWM], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:39:54,751 - INFO - 3692:Dummy-21 - zato_admin:22 - cid:[K045Z4E82WCG7VG6GC002KCV0EWM], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:39:54,763 - INFO - 3691:Dummy-37 - zato_admin:22 - cid:[K045Z4E82WCG7VG6GC002KCV0EWM], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:40:11,479 - INFO - 3691:Dummy-38 - zato_admin:22 - cid:[K078HF02DX2CGAE4BE29TW9NEV0H], name:[zato.server.cluster-wide-singleton-keep-alive], SIO request:[{}]
2017-01-24 02:40:11,500 - INFO - 3691:Dummy-38 - zato_admin:22 - cid:[K078HF02DX2CGAE4BE29TW9NEV0H], name:[zato.server.cluster-wide-singleton-keep-alive], response:[]
2017-01-24 02:40:24,751 - INFO - 3691:Dummy-40 - zato_admin:22 - cid:[K04Y7FPFJP6G6ZYBFVHEGBJ9176H], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:40:24,751 - INFO - 3692:Dummy-22 - zato_admin:22 - cid:[K04Y7FPFJP6G6ZYBFVHEGBJ9176H], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:40:24,751 - INFO - 3692:Dummy-22 - zato_admin:22 - cid:[K04Y7FPFJP6G6ZYBFVHEGBJ9176H], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:40:24,767 - INFO - 3691:Dummy-40 - zato_admin:22 - cid:[K04Y7FPFJP6G6ZYBFVHEGBJ9176H], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:40:54,755 - INFO - 3692:Dummy-23 - zato_admin:22 - cid:[K04XYNA66W6TWFV0X3AXJ32GHVF9], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:40:54,755 - INFO - 3692:Dummy-23 - zato_admin:22 - cid:[K04XYNA66W6TWFV0X3AXJ32GHVF9], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:40:54,755 - INFO - 3691:Dummy-42 - zato_admin:22 - cid:[K04XYNA66W6TWFV0X3AXJ32GHVF9], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:40:54,769 - INFO - 3691:Dummy-42 - zato_admin:22 - cid:[K04XYNA66W6TWFV0X3AXJ32GHVF9], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:41:11,483 - INFO - 3691:Dummy-43 - zato_admin:22 - cid:[K075KS1Y5QV1AV3S0EDQNS6S3Z07], name:[zato.server.cluster-wide-singleton-keep-alive], SIO request:[{}]
2017-01-24 02:41:11,504 - INFO - 3691:Dummy-43 - zato_admin:22 - cid:[K075KS1Y5QV1AV3S0EDQNS6S3Z07], name:[zato.server.cluster-wide-singleton-keep-alive], response:[]
2017-01-24 02:41:24,752 - INFO - 3691:Dummy-45 - zato_admin:22 - cid:[K06HWH0G5RDPWC3B5XS1GTVZYA6N], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:41:24,754 - INFO - 3692:Dummy-24 - zato_admin:22 - cid:[K06HWH0G5RDPWC3B5XS1GTVZYA6N], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
